tweet,label
Halk birilerinden yardım istiyor . Kimden biliyor musunuz,1
gossip girl izlicektim netflixte yokmus?,1
Adamla çok sert bir şekilde konuştuktan ve tabir yerindeyse korkuttuktan sonra adam ne dedi biliyor musunuz,1
Ben kafama ne zaman çay fırlatılcak korkusuyla yaşamak zorundamıyım,1
MustafaMuratAyhan sapık  katil puştun biridir   şimdi bu itin yaşamaya nefes almaya hakkı mı var ?,1
Kaç uçakla kalabalık oluyor acaba?,1
Vay be yardım çağrısı bile siyasi oldu yani öyle mi,1
Biz nelerle uğraşıyoruz,1
Orman yangınında bu kadar caresiz kalan devlet deprem olduğunda ne yapacak ?,1
Düşmanların mı var,1
Yeter artık Gencecik bir kadın daha katledildi Ülke olarak bu girdaptan ne zaman çıkacağız,1
"ispartayaniyor kanım çekiliyor artık . Adam akıllı bilgilendirilmiyor , her şeyi buradan öğreniyoruz . Ne haldeyiz",1
manitayı alıp soğuk bira içmelik hava bilim bakalım ne eksik?,1
Bu ülke bize ne zaman kişisel sorunlarımıza üzülecek fırsatı tanıyacak acaba?,1
"Sarhoş sarhoş oturduğu bar taburesinden , sokaktan geçen kadınlara laf atan müptezelin zoruna mı gitmiş",1
AzraGülendamHaytaoğlu öldürülüş şekli size PınarGültekini hatırlatmadı mı,1
Nasil bu kadara duyarsız olabiliyorsunuz amk?,1
dusunsene skz stanlemiyorsun  d? ?,1
"Sizce canım kedim Miyak, evden kaçıp beni hüngür hüngür ağlattıktan sonra, bebekliğinde ilk bulduğum yere saklanmış mıdır?",1
Akıllı mıyım,1
Hangi idollerle aynı burçsunuz?,1
Q rib deyil,1
Eyyy insanoğlu Makarnaya Çaya Keke oyunu satttın da birkez dönüp baktınmı Oyunu sattıklarının neleri sattığına   ?,1
Oğlak burcundan daha geçimsiz burç varmı,1
cennet yolunun güllerle kaplı olduğunu kim söyledi?,1
Ne yapılabilir,1
"Eğer değerliyseniz hepiniz bebeksinizdir, değil mi?",1
"Kaldı ki ihtiyacı olan ülkelere yardıma koşmadık mı? Yardım almak o ülkeleri itibarsızlaştırdı, acz içinde mi gösterdi?",1
Asrın Yiyeni mi ?,1
ay sana aşık oldum çıkalım mı?,1
"Devletten aldığım kyk kredisi 23 bin, benden istenen 36 bin lira. Nasıl oluyor?",1
ASLI TENN?,1
"Siteye yeni girdim, bir gelişme var mı?",1
Neden herkesi kendim gibi sanıyorum????,1
Başka ülkelerden yardım istemek milli duygularını zedeliyormuş,1
Kaç kadın kaçırıldı bugün?,1
Bugün mesela Azra nın ölüm haberiyle uyandık . Azra nın katili bu kadar şeref yoksunu olmak zorunda mıydı,1
Sabah AB aracılığı ile geleceği belirtilen üç uçak ne oldu,1
AzraGülendamHaytaoğlu daha ne bekleniyor,1
Kalın penisi olan varmı?,1
Bu muydu uğruna annemin karnını tekmelediğim koca dünya..?,1
Bir de ben anlamıyorum neden inatla istediğim ultrason görüntüleri kayıt altına alınmıyor,1
Kırklareli nde hava sıcaklığının 40 derece olmasından daha tabi ne olabilir ki,1
Gerçekten çok merak ediyorum uyanmak için dirilmek için daha ne kaybetmemiz gerekiyor,1
Neyin gururunu yapıyorsunuz . Yanalım bitelim mi,1
Canlı yayından sonra resmen yangına karşı fotoğraf çekinmek için poz verdiler . Nabıyosunuz siz,1
"Nasıl mutlu oluruz? Bizi ölüme yaklaştıran zamanı, hem yolcu ederken hemde yolcu ettikten sonra. Nasıl yolcu edersek?",1
"ömründ bir adama gül almamısan , s n n vaxtdan gül xoşlayan olmusan , ay gijdillaq",1
Herşeyi zamana bırakıyoruz da Ne kadar zamanımız kaldı ?,1
"Dudaklar gülerken,insan ağlamaz mı?",1
devlet nerede? polis asker nerede bunlar???,1
SHDHFHEHCE???????????,1
"Şimdiyse peşine afganlar geliyor , gerçekten akıl bunun neresinde",1
duyuypruz ??,1
İban isterken aciz değil misiniz,1
Cennet vatanımızın ne hale geldiğine mi üzülelim yoksa yapılan vahşice cinayete mi,1
Düşerken uçaktan düşen bavul formatında iken çıkarken neden beceriksizler gibi hareket ediyor,1
N E D E N  Y A N G I N L A R I   S Ö N D Ü R M Ü Y O R S U N U Z?,1
Daha neye üzüleceğiz?,1
"Göz göre göre yanıyor. Helikopter yok, uçak yok, nasıl sönecek burası?",1
mı taşıyalım yanımızda?,1
Ağaçlar demiyor mu?,1
bana kim sb atti?,1
Sizce de her şey olağan mı?,1
"Kimin uğruna, ne uğruna?",1
Kaç gün oldu ben çıkan yangınların sebebiyle alakalı bir açıklama görmedim . Gören sebebini bilen var mı,1
Eğer grip değil koronaysam 20  kişiye bulastirmis olucam??????,1
Kadınlar mı?,1
İki uçaktan biri alınacak olsa hangi uçağı tercih ederdiniz?,1
"Denizli de Marmaris te yangınlar var, neden hiç havadan müdahale yok     Askeri uçaklar neden yardıma koşmuyor ?",1
Nasıl bir lanetin ortasına düştüm ülkenin tam orta yerinde?,1
Onlar işgalci değilmiydiler ???,1
Venezuella ya yardım için test kiti götüren vatandaş nerde? Uçaklarını gemilerini  seferber etti mi?,1
bütün ülkenin yanmasını mı bekliyorsunuz müdahale için,1
Katledilen kadınları mı?,1
zisinn?,1
"Senin de iyi olmadığını biliyorum, yinede beni iyileştir istiyorum. Çok mu bencilim..?",1
Arkadaşlar vefatımdan sonra görünce hoşunuza giden sözlerin altına benim adımı yazar mısınız ?,1
Düşünmeden sormadan edemiyorum aklımdan çıkmıyor bu soru,1
loud bitti mi? ne zaman bitecek?,1
kaderine terk edilmiş durum da kimse duymuyor mu,1
Çok iyi değil . Şunu tekrar edebilir misiniz,1
"Türk Silahlı Kuvvetleri nin envanteri, Dünya çapında. Hala neden TSK ya yardım için izin verilmiyor? Bugün değilse ne zaman?",1
Götümle güldüm . Tahminen soyunuz ne zaman tükenir,1
YA ALO İLK ATİLAN TEASERİ İNDİREN İNSAN VAR Jİ,1
orospum olur musunnn?,1
Kimler burada,1
C est quoi adres başlığı svp?,1
Sanırım Orman Bakanlığına göre Orman yangınlarının en büyük nedeni,1
Operatör alıntısını gördünüz müü?,1
Kendi ülkesine yardım etmek isteyenleri engelleyecek kadar nasıl düştük??,1
Koyun nerde ?,1
Ülkece akıl sağlığımızı hangi eşikte kaybederiz diye felaketler zinciri stimulasyonuna falan atılmış olabilir miyiz ??,1
Seni düşününce kafamın içinde sürekli Gripin şarkıları çalıyor.Neden ?,1
Ülkeyi yakanlarda bunların ağa babaları değilmi zaten ..,1
hazırlık çalışması mı,1
Kadınları mı ?,1
Sıradaki kim,1
"Bir dağ evi, bir şömine, bir sen, bir ben sıkılır mısın?",1
Anne ev neden bu kadar sessiz,1
"Neyi kurtaracağımızı şaşırdık . Ağaçları mı , kadınları mı , çocukları mı , hayvanları mı",1
Adam olmayı beceremediler acaba insan olmayı becerirler mi dedik,1
ARTIK YETER Yetkililer bu gidişe dur demeyecek mi,1
ülkede ağaç kalmadı . bu kadar mı düşmansınız ağaca,1
Bu sıcaktan dolayı en ufak işi yapamıyorum . Bayılacak gibi oluyorum . Yok mu timelineda bir doktor,1
Yok ise başımızın çaresinemi bakalım..?,1
Gerçeği bilmek zorunda mıyız  ???,1
"Biraz önce yanlış görmediysem marmaray a 8,91  bastım?",1
Arkadaşlığı 1 yılı geçen varmıdır acaba?,1
Sizce ben aşşşırı beyaz tenli değilmiş gibi güneşin altında uyuya kalıp güneşte çarpılmışmıyımdır,1
"bazen şey diyorum , Skz nasıl bu kadar mükemmel olmak için mükemmel bir çaba sarfedebiliyor",1
Bu Ülke artik nereye gidiyor???,1
Dünya n oluyor?,1
Arkadas abi Sen a i olmadin mi?,1
Simdi bu bside mi title song mu????,1
Bide eve bırakırım dedi . Ya mal ben kendim yürüyemiyo muyum,1
"Bir de bu adamları alkışlayan  entellektüel, özgürlükçü, demokrat   arkadaşlara ne demeli?",1
Hindistan da çocuklar açken neden yemekleri çöpe atıyorlardı?,1
LÇEE MINHO?,1
arkadaşlar yardım gönderebileceğimiz sağlıklı yerler neresi,1
"Ülke yanıyor, yardım istemek gücüne gidiyormuş. Gelen milyonlarca mülteci için AB den aldığınız para ne? Yardım değil mi?",1
Göğe bak kemik yağıyor mu?,1
Neden kesin rakam verilmiyor?,1
"Yeri geldiğinde kendi yaramı kanatan biriyim, sana acır mıyım?",1
Ben her gün bir başka kadının kayıp haberini yaymaya çalışmaktan çok yoruldum. Ertesi günüm olabilecek mi?,1
Hangisi zor,1
bana 2ne1 şarkıları önerir misiniz,1
bizden ilk nerede ne zaman vazgeçtiniz,1
Kime kime?,1
Tanışma Postu atayım mı?,1
gidip en güzel lookların olduğu fotoları ve pcleri 50 dolarlık japonca albümlere koyan yg şerefsizliği,1
noldu günlerdir dua ediyorsunuz yağmur yağdı mı??,1
Devletin elinde yüzlerce toma var neden yangın yerlerine göndermiyorsunuz,1
Bugün Cumhuriyet gazetesinde yayınlanan yazım ektedir . Orman yangınlarının nedenleri nedir,1
sexting .,1
Bir gurbetci olarak ben nerede tatil yapacam amk,1
"Türkiye de yaşamadığım için affınıza sığınarak soruyorum , neden bu hükümeti devirmek için sokağa dökülmüyoruz",1
Biz yanan ülkemize mi üzülüp yardım için bağırıp çağıralım yoksa kadın cinayetleri için mi birlik olalım,1
Kim bu cennet vatanin ugruna olmaz ki feda?,1
Böyle canice katledilerek daha kaç can yitirilecek,1
Gündoğmuş ta evler boşaltılmaya başlamış. Neden bu bölgeye zamanında müdahale yapılmadı. Neden bu kadar beklendi?,1
Neden mi bir şey yapmıyorlar,1
Beni 50 yapar mısınız,1
Salak mısınız,1
"Etimle, kemiğimle nefret ettim. Doğaya mı sahip çıkalım? Kadın olmanın vermiş olduğu sorumlulukla mı başa çıkalım?",1
new heroes gibi bi sey??,1
Neresi StrongTürkiye nin?,1
Allah belanızı versin    Daha ne kadar yanacaz? Neyi bekliyorsunuz?,1
Bizim bu ülkede tek bir günümüz  daha az mutsuz  geçmeyecek mi?,1
"Sosyal medyaya her girdiğimizde, anasayfamızı her yenilediğimizde farklı ve daha kötü haberler alır olduk. Biz ne olduk böyle ya ?",1
"Gözler orman yangınına çevrilmiş durumda . Birilerine gün doğdu. Kimbilir neler neler kaçırıyorlar,kimleri memlekete çağırıyorlar?",1
Dünya nın sonu yaklaşıyor ama ben hala spor yapıyorum çünkü ya yaklaşmazsa??,1
Yanan ormanları mı?,1
"Ağaçları mı, Hayvanları mı , Kadınlari mı yoksa çocuklari mı ?",1
takipçi etkinliği yapsam katılır mısınız???,1
kendi hürriyetinin esiri bir ruhla hayat icra edilir mi ?,1
Bu instagramdaki fenomenimsi hatunları hep aynı 46 bin kişi mi takip ediyor? 46 bin bir dienç mi? Üstünde 3 kapanış yaparsa 124 bin mi?,1
Hayvan haklarını savunanların hiçbiri hayvanları düşünmüyor . anne ne,1
Filosunda yatan thk uçaklarını bile isteye kullandırmıyorlarken zorunuza gitmiyor mu,1
Gelen yardım tekliflerini neden geri çeviriyoruz anlayan var mı???,1
BİZİM YAŞAMAYA HAKKIMIZ YOK MU,1
Sahi şu gezi zamanı bizleri sırılsıklam yapan meşhur TOMA lar nerde?,1
E boyle dalga dalga gidiyor baska illerde de ayni durumu yasatmayacaklari ne malum mesela onlemler alindi mi,1
Doların euronun bu kadar düşüş yaşaması normal mi,1
O değil de izinler alınmadan para toplamak da ne oluyor? Bir bana mı saçma geliyor bu durum?,1
Son 2 yılı hayatımızdan çıkaramıyor muyuz ya,1
Şimdi de Azra Gülendam Hayrtaoğlu bu kaçıncı cinayet,1
İstanbul dan yangın bölgelerine gidecek ve arabasında boş yer olan kimse varsa benimle irtibata geçebilir mi?,1
Roma mı,1
Eskiler mi güzeldi eskidenmi güzeldik?,1
Yunan halkı hakkında ne düşünüyorsunuz?,1
sulli  deyince  akliniza  ilk  kim  gelio ???,1
Bu nasıl bir insanlıktır,1
Neyi kurtaracağımızı şaşırdık artık . Ağaçları mı,1
Profilinde atamızın resm  olan kişiler neden RızaKayaalp in yenilmesine mutlu olur?,1
"Bunun sonraki evresi ülke yönetilmiyor , gelin bizi yönetin mi olacak",1
"Agrima gidiyor diye aciklama yapip paylasmayanlar var, bir de hic paylasmayanlar var? Hic paylasmayanlari da ayni kefeye konulacak mi?",1
"Hangisini takip edelim , hangisine üzülelim ve hangisi için elimizi taşın altına koyalım",1
Çok acı çoook çok acı kime güvenip nasıl yaşayacağız bu ülkede,1
Peki bu insanlara sordular mi acaba hic yardima ihtiyaciniz var mi diye,1
Neden her yerde kadin ve kizlar kayboluyor,1
Ahbap üzerinden burs alan var mı,1
Kadınlar evden çıkarken acaba bugün başıma ne gelir diye düşünmek zorunda mı,1
Sizce ben  konuştuğum çocuğa 55 kiloyum deyip buluştuğumuz güne kadar 10 kilo vermiş miyimdir?,1
Şiş gözlerin kısık sesin uykulu gözlerin hiçbiri için değmedi demii..?,1
Şöyle bir düşündüm de son zamanlarda bu ülkede bizi mutlu eden bir şey yaşandı mı acaba?,1
televizyonda bir program var insanlar travmalarını paylaşıyor..? televizyonda   ??,1
Artık gerçekten işin dozunu kaçırmaya başladınız . Sıvıyı olmuyorsam bundan sana ne,1
"Kardeş bu ülkenin ordusu, jandarması nerede? Bu halka neden yardım etmiyorlar??",1
Van daki sel felaketi neden görmezden geliniyor ?,1
Nerede uçaklar?,1
İnsanlarla reelleri için mi arkadaş oluyorsunuz,1
Qürurlu insan nec  olmalıdır?,1
"Ruhunmu ateş, yoksa gözlerin mi alevden?",1
Ya acaba yandaşlar gerçekten huzurlu ve mutlular mı,1
İnsanlar neden bu kadar zalim?,1
TOMA lar nerede,1
Ormanı mı?,1
Acil eylem planınız var mı?,1
niye gelen menslerin bildirimi gelmiyor?,1
Yağmur duası ne? Şaka falan mı?,1
"selam , beat yapmayi bilen biri bana dmden ulasabilir mi?",1
annene gencsikici istemezmisin?,1
Yeter artık dedik yetti mi,1
instayı kapattığımı ne zaman fark edecek y rim?,1
iban verip halktan para isterken de güçlü hissediyor musunuz,1
Yakan kim ki,1
videodan çok TA havası alan ben değilim değil miiii,1
"Yeter artık, sesimizi duyan kimse yok mu?",1
TİKSİNİYORUM. Biz kimi kurtaralım;Ormanları mı? Yanan onca canı mı?,1
Bu devirde böyle bir aşk mümkün mü?,1
Yarın Özal ı biz öldürdük dese inanıcan mı,1
"İnsanlarımız sevdiklerimiz dostlarımız yangının ortasında kaldı müdahale insan eline bırakılmış , devlet sorumluluğu nerede ?",1
Güzel haberleri de paylaşın son durum nedir,1
"Evsiz kalan onca insan , hepsi yardım bekliyorken atılan çay neden",1
bunlara bir kez dahi olsun oy veren arkadaşlarım vicdanen rahat mı ?,1
Burda olan var mı ?,1
Yağmurum olur musun?,1
orman larımı.?,1
Söylesene insanoğlu ne zamandır böyleyiz,1
İnsan sarrafımısın?,1
"Herkes bana  olumlu şeyler düşün, çocuğa yazık  falan diyor. Memlekette olumlu ne var ne?",1
mı demek ?,1
"Ejder meyveli smotieler içerken , dalga geçer gibi halka çay atmaktan başka",1
Hangisini koruyalım?,1
Twitter dan yalvarmak yerine sokağa çıkıp eylem mi yapsak acaba?,1
"bazen şunu düşünüyorum, başa geçerken ülkeyi mahvetmeye yemin mi etti?",1
"Bir de nükleer santraller kurmaya çalışıyoruz . Ya bir kaza , saldırı olursa ne yapacağız",1
341 kişiye rezil mi oldum yoksa ya ?,1
"Yangına müdahale etmede sınır, yanacak şey kalmayıncaya kadar mı?",1
Daha nasıl bir acizlik çekebiliriz sizce,1
Seni sevmediğim için ben neden ölüyorum,1
"Nerde cehalet , orda felaket Fark ettiniz mi",1
ben bu ülkede çocuklarıma kıyafet ne alacağım,1
Biz bu ülkede neden uzun süreli bir mutluluk ve refah yaşamaktan aciziz,1
Amına kodum ülkesinde ağrınıza gidecek başka bir şey bulamadınız mı gerçekten?,1
Cevap bilseydiniz,1
YUHH GORDUNUZ MU?  ????  ?,1
Bu ülkenin ortalıkta koşuşturup sağa sola emirler yağdıran valisi nerede? Takım elbisesi toz toprak olmuş bir kaymakamı var mı bu ülkenin?,1
Ne istiyorsunuz çam ağacından? Ekolog musunuz? Biyolog musunuz?,1
"US 10yr 1.17 ye geldi , bu kadar histeric şekilde ABD assetlere hücum olursa neyi konuşacaksın",1
"Bukadar iğrençleşilen, acizleşilen başka dönem var mı?",1
Mansur Yavaş imamoğlunu tercih eden bir zihniyetin vatanını terkeden bir suriyeliden ne farkı varki?,1
yan tarafimda masada oturan kisiler tarafindan bodyshaming e maruz kaliyorum,1
4 8,1
Neyi kurtaracağımızı şaşırdık.Ağaçları mı,1
Yardım istemek bu kadar ayıpsa her cuma günü neden imamlar vasıtasıyla yardım isteniyor ?,1
Fidan dikme etkinliğiiiiiiiiii ?,1
Bu insanlar hangi hayal dünyasında yaşıyor,1
reva mıdır bu güzellik?,1
Bir şey soracağım. Onca yıldır devlet yapması gereken neyi tam olarak yapabildi?,1
Kiz kardeşim dediğin kişi seni birakip giderim?,1
A sınıfı havanın neresi komik?,1
4  Daha ne yapsın belediyeler????,1
Hani güçlü bir ülkeyiz ya biz bunların hali hazırda alınıp düzenli bakımlarının yapılması gerekmiyor muydu,1
Yangın Söndürme ucagiyla ülke nasıl isgal ediliyor amk. Kara harekati da su tabancalariyla mi yapılıyor acaba?,1
"Biz yine iyi kötü bir 20 25 yıl güzel yaşadık, belli bir yaşa geldik ama bu ülkenin çocukları, gençleri ne olacak?",1
"Muhittin bey e halkı panikletmek yakışmamışmış  hala panik olmadınız öylemi?Yuh bu mudur yurdunu, toprağını sevmek?",1
"Ülkece neyi kurtaracağımızı şaşırdık ağaçları mı, hayvanları mı, kadınları mı, yoksa çocukları mı?",1
Yaşanacak ülke sondan kaçıncıyız acaba,1
Çok iyi değil . Şunu tekrar edebilir misiniz,1
ormanbakanı niye var ya,1
bugün için yangın bölgelerinde ihtiyaç duyulan şeylerin bir listesi çıktıysa biri bana atabilir mi?,1
O  lemler sultanı  Buyur Ya Kulum  demez mi ?,1
Ne demek bir kadını vahşice öldürmek,1
"Ağaçları mı, hayvanları mı, kadınları mı, çocukları mı?",1
Ne bakıyon dayı? Hiç mi müşkül adam görmedin?,1
Bunu nasıl yapıyorsun Zeze ?,1
Yakarak isteğinin yerine geldiği oldu mu hiç?,1
su pisliklerin isimlerini ve yüzlerini neden sansürlüyorsunuz ki,1
neden sürekli bi av gibi tetikte olmalıyız,1
Azragulendamhaytaoglu ve daha nice kadına yaptıklarınız yetmedi mi daha ne kadar canı hayatından alıkoyacaksınız?,1
ne işin var oğlum senin aşkla sevgiyle,1
Hepimizin sakin ve huzurlu geçireceği bir 1 güne tahmini ne kadar uzaklıktayız,1
"Ya bu formalite Kenya maçında tandara , Gabi , garay falan sakatlansa nolacak",1
